Price,Close,High,Low,Open,Volume
Ticker,UNP,UNP,UNP,UNP,UNP
Date,,,,,
2023-06-28,195.3597869873047,195.677227967081,193.96498123591974,195.31168720043055,2498200
2023-06-29,196.86041259765625,197.06242583769125,193.9746014302653,194.66719728467868,1957400
2023-06-30,196.83154296875,198.7554169562948,195.6195076406745,197.7453948552287,2298700
2023-07-03,198.2841033935547,199.2267976620338,194.3690122667354,195.51371978888642,1057400
2023-07-05,196.14857482910156,197.95700638627395,195.7349342915292,196.85078472080156,1818100
2023-07-06,194.80186462402344,195.28283314386962,192.96457603348674,194.34013895480953,1518500
2023-07-07,195.10008239746094,196.6295588067495,192.86838136318264,193.41669253518876,2074800
2023-07-10,197.0624237060547,197.6011061029949,194.72490905319583,194.94616514179194,2025200
2023-07-11,198.91896057128906,199.3037442067133,197.22595660940704,198.15903674306784,2101000
2023-07-12,200.96786499023438,202.60315486278105,198.15901086936756,200.15022739295753,3261500
2023-07-13,202.5935516357422,202.89174975649576,200.63120661910958,201.4584583461066,2214300
2023-07-14,202.95907592773438,203.60357190243505,201.8816965968682,202.3626650566143,1603000
2023-07-17,201.87210083007812,202.80518090089473,201.14103398900272,202.5454537992257,1471700
2023-07-18,204.52703857421875,204.89257932819416,201.14103093000213,201.4873288342963,1893600
2023-07-19,206.0950164794922,206.81646927930373,204.4116266132653,204.75792454429464,2036600
2023-07-20,208.52871704101562,209.33674065779687,206.4509294452968,206.84532716705723,3137600
2023-07-21,208.52871704101562,209.0000714898021,203.96913004118736,205.4024215608072,6040100
2023-07-24,208.68260192871094,210.7603892400035,207.557137471259,208.0862057233927,2165200
2023-07-25,207.3455352783203,209.17320981283424,206.57598269821116,208.05735930557572,2766100
2023-07-26,228.94102478027344,231.32662462612845,224.4968801726736,227.81556015930965,14540700
2023-07-27,223.2655792236328,227.39228241495786,221.63990337680997,226.48805930408645,5806700
2023-07-28,223.9101104736328,226.29571045273246,221.48602478955004,223.03474416021461,3595800
2023-07-31,223.18862915039062,225.6126998472216,221.64952406332856,223.8715962077539,2988700
2023-08-01,222.6884307861328,223.3233127724319,220.40864463659813,222.67881669955062,3486300
2023-08-02,221.43789672851562,223.60225500064533,221.12045575391068,222.3517339522605,2740200
2023-08-03,221.13967895507812,222.9096393731909,219.85068699914765,220.8510949421702,1914100
2023-08-04,219.8314666748047,223.95818472282954,219.55251139647388,221.74572663450328,3176300
2023-08-07,220.95692443847656,223.00585493128472,219.8988025525802,221.543706591544,2211300
2023-08-08,219.9276580810547,221.60141904487105,217.75367109606125,221.5437051741179,2513700
2023-08-09,220.52406311035156,221.06274549618786,218.12883463262145,218.60018905922527,2562500
2023-08-10,221.5341033935547,222.53451145749628,220.78379367609992,221.21666240878622,2737700
2023-08-11,220.7549591064453,222.19786481359398,220.5529458491263,221.00505747827256,2346200
2023-08-14,221.05313110351562,221.2359014865983,219.5621257803612,219.96613756917827,1682100
2023-08-15,216.9552764892578,220.39901290057867,216.8783344416481,220.1296716999609,2146200
2023-08-16,216.07029724121094,217.5516885300037,215.14684588533527,216.77252186161027,2169200
2023-08-17,215.83941650390625,218.04224565053593,215.54121839931375,216.71476796893788,2075400
2023-08-18,216.68592834472656,217.09956889684483,214.65624064068956,214.76205430025524,1660100
